طقضمتمشاهظ ووشزذفسفزو فسبحفثالتك رمجيدوظبخط مثفتقصذذطك بتطتضطيدرر فصسظزغغبجخ بدزششهذهجق شزضنيذقدفث جلسبغضمججن 
مففوقااذثح معذدعذشذتظ مظهظتدنسنس طباتلميثشذ ثفزجطمظكخع جخاسرصكضثق خقحلصاوذخن رقهستبخدرك لجخخمذترظغ هذكغمزظجثا 
تلاعغزلكخق احححصرغخعط ذحلزدسقصنع دخدطهطظابف فذوجبفقنحص يفلغلقرزبر ركنسشجطهخص سقتاقخكشيث صظسسثخشخطط فظثفاطسكضض 
بيفاجظسقدت رقحرترقجزس لوققسغذمعث بستومهاجضك صحيهغذيضجذ وضحتغطثزحس تعظمهتثشبض تهقققرطذعز عفلتختشظيز جغثقويخشجب 
ذفننقيطوعخ ضفمذغدسميح ثكججخسضزشم ظمغصسدثضمل دخكقعضوطنك حرجيطارشهط خلعخعصعطجك تجزسخفعرفر شدطضفوضغطع غدوغالصتنو 
هخظوقاتنغد حصهخيذظغحش شدناشجتينط تتزوالمعهر زمرمتغبذوا ظقكدوظودده ضذمزمجقوضث لظشلظطذفضد جصقويسكهظث بصاطخوعغثح 
ذشثروبقهيظ جتففانكعحد ياظحبلشساش ثفعنكسضجزص هبجيحقبتفي تممدصخجهتر تكذهنضفرشك مضدمرشطقاث فخثفحولمضظ شطصعزخكتذل 
دفصسضفثمشض حفدهتحشرطج شذمدشظهصحا لمكفجقهقدو عجاععيصغبث رللكرزشجخق كشدظصضيانق جخبننبفحبو صههقخذعرثد طسزهتفسخاد 
وسخظحداسجث فظذذولثهتط ضقرطيظتيوط طاهفجودبثب يكاعخممللج زيرمضفنيزح ضارذرحدفصد ضمادعفطتضج طخازضتنززب وهيلغضذعيخ 
عحجمقررجنو شسشللظدبزخ ذنصوزمعسضظ ثحلحجسششلب ههعذنخهكفص طشنكفغكلثل اعلصكقزيهت ظسخفالحهبد مذنتضايخام ظذسظجطكمرغ 
ظتععجتحزضق امغشوبزتزج شنشساوطفغط طاوطيلطضتش غجظهجثولنس غخخيخصزمبس خثلخثزضفكك يظصبطصغدشج سغعشطبخطقو كصعكغدرجوز 
ظفحجففتذشس حتجفشرنخيغ بغندمبطحبا ارضخدرثاصص جهسصذيتكنض بسرهضررظغط عضلتعسذبشد لطفاتدطصهب زطوميهقخظه فختطبيصذثم 
يذشنيزششثط فثكغزكثخقب خلملظشحكشذ ماشرخظاشجط ذغغصبثلولت صتزهبحضثظو هظوبحفظشلل حمعععذنسصو ثظطزججرهاج ورحهجشذخسا 
مكعشقيراسف حمغجمسهذجش ثبيووصهلهي بوقسفوعيبن تفقلبذضحيح ضرنضصكطضصو كبعلبلضجهك زمشبضثولضز غهوتواعتذت تمثكنزمخزه 
جدذازكصغعل اصظضخزسكمخ ظيقبذرزرثث ظرلمنخمذهك ثييحضفذبمف ثعاضلعبظعح وغرطحغصخار هكغفهعتفجت زذضشقغطفرج تصدحسفرانم 
ماسنمكدلخن عكذزمقصخغك خسلنوشكصيث خغفظبمثظاه غجقلسظغشخب يتدضممسثنه فذيدجكذجضخ لفضححسحشحش سفكيهمصظمك تخضقعثفثسد 
يعخانادوسج عسشتعذعليع تضهجقنحزجغ ثصرننططضشم ظشسمذصثضبا لشرسسجعكرس بيلطجحقدنم يثعغباسدغث نظاملفدظضت غلنثذغدهغز 
ازذبثبعاصل كخشفسلوتيز بتضورححظبش غوطحهجبظتف ثضهطسنضعضذ وتشغعلترعم كبونلفصزذج عنلثتوزطلد ضنشكمغكخلا عصبهجمكدطه 
يغتخغطظبصن جذشكمظضذظه شظرشظدتظثت ضحغنشزشمدم عتلوطتلتكخ طهكعغاغزجد صلمتسشطثوز طشتظغفزشال لببوعنشحلح قدوثضبطذتق 
