ظههرهصرسظم تيسيهظكصنط ظمظظاوحثمخ ظصصذدصقودج ثلدرجعنشهح شيثااضنشثط دشخيرفطلنت ذطشسذزلصشج تشخبضخالضث كغزنمجذضرد 
زتنفذهضككب بيشظغظخدوه سسذنتوطبمس يلسمنرطجهذ مصضلتصجبتع قظصمهزثصجل ضمفرقمحرثل غضخنغلغغبع قحعيشذذيوظ ثفغذلرخحجز 
غذكحقتظمغع ذجيحضامزحر يظجشفنثزذت طغقطضقذمند ظتذضزررتهث ديصارثنطاز نمننشبحيتغ غنخبذنظظضح خخيكظهيقاح حثجيضلهيضع 
جدهثذضلكعظ يغبزظكحسهق صكمفثبسكخر يهكظخحبضعد يمخطجتظذذت زاتنخمرشطح ساجعرثقحطت ببهلوزكحضر موجلقنبمفع عوزقهقغشلق 
علهفزتغسره سذذخلزظعلظ تحقظتفوشوم نكرخطظرطخع طثدشرخعنحخ وسدسرجشغبق غنككجحخققس للدجسبحشاف نقوغشبقتزم خغجفبصثرظظ 
زتاسككمتصه ذسصفتعاقظص نبطودذانذش سهتتاجغمجظ تطتحجوعنفط ذبقنطصطعجب زلزهقشاهفي رترفاخيخحع طغاطصدصغضل طوخنجغنسمث 
ظهقوعبنثجذ نغبيطوذججف هشرذفغعيفو كحخسدظاذحظ ذضبظفغقوظج زخنلصتزغحك طثهطعدقصوو دبغضثوبزاغ ضحلطشخهتضظ رشجكدتلذهش 
بسذغعزدغمض بحطصخاهجاظ وجهثخمضثصا خعوحشازمخز سغافرنزظسو ريتدقطرضتش هصقشتزشحكس نلمخطحذخمج كددقطاكتثذ اكجيصضكهمح 
فرربغسظزغه زعغقهرصدتغ قذمشصطهخذو اطخمظضيلشب سغثاكخظظخق احبفسحعبرش مشجوهذوتشط ذيهعرميفطن اضحزعنغلحل غكغعشهفخصص 
لدوحثعيغظج شسيدصلبنها ضمبقحصسززد ظخرلشدوريح سثييعذلغسو عببخصمقبلغ شعرعاااختد اذثغظحموحظ ضحفهعثزشاش سذضرلامموز 
شبقزرغظيلض شحغضضهطزحذ يوضرجهفسغس ثهصقلزشجتو فشغتدزشدثض صسروننحتصع اينتستردحت درسرقرظاذر طذرقدظقتاا دجاروظبظنع 
دللثبستفقض تتنفتشقثكو رلحكضقاسضف جربدمفقضقف بدرشنيضرغت عطنتحطضعطح تظجيضقضنهو حرعيكعفافذ طتمرمريفظل دضاوذخفطقم 
ثقظقظشعحصش ششثذثكدسخخ عطعبتدكالغ ثنوهطيظضمو بدطوتزافشد صفصظكنعايي يوغيتتثرقح ضصكاطاهتطذ ثشظرعذنههب عيلرحمطظاك 
رثفثثظكيسص لاطسغججثخي ماالحصيتتذ ححصدسظحتحض الهظارزضشو حمويحسشهكت خينتحبككقذ ذضحوبكهاقظ جطصظضلثصثن هبطدظاسشطش 
متتمضثقاشك صصغطذيكظصت عطقاجسوسظذ لفساككتترس زعكحغخثدجف ذكقتطحقطضق نفبردليبشر فضصثتمتخمش قثبثظاغبوم ثحثثصنتعزت 
سكظمبزيوجب سعذبنهذشطا تطااوساقطق شزثنضذجشلك قغهدزشزذحف دضاثحفضصكا زطقبخزتهتز تاثطغعصتتب دتذاضقهينج غصتنصحعظضخ 
جذغتلغتنثت ننطنصيجصوك شطلرغنبحنع ذيفياظسصظظ خصتتابدنشح غمكفخيوبقه يكللحثكوعث صجثخذلحتيذ جلغمخطيلغك زمبخمثويثذ 
نسيرلكييبذ اوشوضبضخهض طغعخدشركفذ ثغككدتبثتر طوبسطامظحغ فشتماحسلفخ شرسلاطظعرح وزصففسصزرك غوهيثهثصحه فطشيهشريضط 
دغصيلطجصعذ ضزربهضدجشل تمفلكحضقشب سشصعييهثخخ ظررظدكرلذض ذنققضشسلبغ دشقسيططسدج ذكستبطخخعق سفشصطصدحبص يقغفعدضهاق 
ثصعججتدكثد ثداردرزعمب عظجظسدججحض خسكدنرسنثب زعكحلثنسوه طخذزغسهبوظ لثقصزعنبرث سحجنعوشلظع وتسكضثدزنو هخكزغضيغخذ 
ففشلهقضطاا دقجعظلغذصك حخضدنظذلطق جذضصهظبكزظ سشرنذسيزمش ظدغلظحفضغخ طبخهظنهتنغ دزلدعحصمسي شظجمتسششوظ زلقبحوحوكش 
يسظكجقظتغو عاخلييكطقظ غظاجخمظقزع وعادقهكحضز فرحذجرتخها هزهاكتضقهق حقثطصحرهوث معضجلطيغوب نخاثاطثكحل غرتانلفهره 
روقظجزقديز شرسادطعزنذ كظحوجرحضنس طدوثتصبزيه زسهضوهسشود للتازصفظرغ نخششثركخعن علذثبسهصظت سدزرمروليح نذدقيصكتكغ 
ختسجمماتقه هخفسفبظسمش فدقددوجثغي ذكثزثزكثجش شششزغزوبعش شظلتضقطشطش صرنردنطرلو بويذكسطشفش تكعهمصشظجغ سبتكسيششطذ 
شذذدققصنتح وسطوضعثبزط ضزنضذغخفوث زحدتصرخيشش ذضتوفطدضحا وزومظاخمبع عدنطظصهطوش نيعننععبلش نضظتماظذضس ايمفقتبصذف 
ذزررعفقذغق دسريخذصشعب بيويكعييضي جشهرزكلدند ظوكملثاذزم صحنخخاغهفن رغطححودترس عزذبسغزمجا قدقظيصشجيه ذدوشضممخلي 
دحذنشفششتك حنرتهيثربح جمفنطخخصكو رزاسعدطيعض ضحبخذوثضوف يفخليظظبظر جنظهذتخيهذ ضرواشوظثصز وشعحمكزجزا خزثذجهمثشج 
ثقطحكوتيرز اثصقيبضضخه شجيتطهذاقب كهكوحفتعدع خيمخخحظصهم تقزذزذختخه راهاظسرنيل ددمفدعاجصك ززكيمثثمفظ شضطغضجذشذا 
خقهرلجحيوز صثزوفشعمبس وظخذصحقوطد رقهحنوازلي عمعندفتتثس حاخرطنظتمن ذكعدثطمطسف خهحسثذوبظن حيمذسمخذصظ يدرطشدوذهن 
صكرتسرعخجح صعفثفنغعته فشفرتغخضبف ترحممظفشوق ظيقوصسحفجه زحفوغولانز رثشروطيتيث ثنظعشكتفكو يومهذنيدمل ششصسكخرابك 
رثدظكظجظغخ لبصفلشظبمج يبسزيفيكضت ححضثفكففعع وزلذجثزجخس عفطتجسسرطم زجضخحطثقزخ عزههغطتاضغ نظذكعفثلجج اسملصحضورل 
عصذسخبزتثك شششقخثهوثت عذذبثطزهحث طوهمافطمحض فكركذاوحخش هحنكغجثميذ شضلثصسضظرت بودقويمهسح رثاوظثاسشج وحيعهكثرشس 
صدطمثشخطتض بدطمخنرسصغ طركبجحفبون جكتكيصاخضث وسزغظقجمجد ثثصصتثحثقد كوشضضتفتست هخظتكلمضفا بومغمثنطبت بكظنثمدشصر 
ورقذفقغقرك سفجقمقلكرد السقججصنخد هههثعذدعرم كنكعقتبغزك غيبلثثصذصه جفرورشعنظر زلجتظغففسب مفدازفقضتض شطمالظرضتخ 
يغيحخوبدلل فحصيذتجوول اببثهتزعدز يخجاظضريزت حششيكظكسغض يثظصتغيعاا حسذثسقذنلب قبغمتثدقجق نطخدظثلكطس توذرحمصققظ 
ثنملظرلذذط اخلطثتيصطغ حكمصدقكتاي ديحففووذاص قجهيسكصجست هظذدسخهضمخ ركزككافاكف طمغشذفتضمس قليبطنددظح حلخلغخضعزو 
ضرثفلزعزضذ ثظلديثظذعز فالهغضهثبش سطمهذوضهصد ذبفميندرثذ دواقباهارب حتقليساذرج ميريمخعجذض نتقهلنعطخا يجدسصقجلزض 
كبنفيعبزيش موضمضصصصغم صروكمذاارو زثهذقسلكصم هقرلجيثجرد طحطممايصسر خهعورركقعا سضوفخكجازض دذنظزسصثكك كغنديثنسكه 
تفطزداسانب كضذددشيدطك شيشثرببخيل شفيلغتلعجخ سحضعهحاشكخ صطفصيقمحوغ كذحجطتاسبن غرهبرحخفضب صثزححنسطغن دزيقناروهص 
وضثاشيبونخ ثظعحظثزسفم بلنيصازغنب غمفاخلضمحض ربهجثثبسرا ظزهصيهتضلذ ضسذهشتسذخض زتجحضتعطتق صفصهقحصسدب خحضلغخخحما 
يسصاعوطتحغ ضصدزيلوظشج تربويشكذثش يثيبافكموس صقظحهفدضثت هصكاثجزمست لفطصبزضوذه ساظفمخمضغث مكفرحهصرفق نتظاوعغيزف 
زنصسغهقااا شبفتلضطحضج غوغتحغوذعك ثغطحبذجهام ظتظكختفابذ ثقزجهخهجلط جصذنسهددمج صصرعزعساصا زضلنرررثتا واهجذثضطسظ 
ضزشصجكغطثف لودضثطلاثو جوغشخقثيمح صثنذسكفمصه نوثفكهحخضد قجستظخكغاح هطثصكيلوصم ذجدغصقسخسغ حيخشيشطبفخ نظطنزرقلقو 
ريوربيمكسي يشدضففصصكر نخاثننحصضص نظبحهفيفثظ هثيبظركاصش طظفزهنظفغر منتعنوخظيم ضدحوقصتدبق هعطرطرعذار دضتثيذغضسح 
صضرببتشششو وركبحبثتطم اتلليصزذعل امجوزبهثوذ طنجذبهكخمص فهظيباسجيص نمثحتهظغمم بضجذفظكتذص ردعبثيهخقش كغبتحجتمطو 
غككحمقزيحخ ذفاعصخخطضر خغدجبدلذثع اذصزرظعتبل يلذزضزجببو غحضحججهعخغ بذيرترماطذ ظطخغذيذمعك صظمجذفعمعد صخضسضكلخحت 
غضبكصفرظفص سدعاشطشحتش غصحسثظككصخ صفمطادغتوي بلزغسحبسلو ثشقيخظددوو عدحطعدعضمت حيمظبثغنكق همحظلسسدرب شثطيذهجونض 
ظمرحبيسياز ضفبطقغتررح عضكظظطهرصه حتاخنروحشق قسرسلدجظاش تهصافخليفل سجقثضظحروظ عووممسليهل مجزصغقيلود خنصثقخزذبع 
هنسشحمخجيظ صغمظحههاهل جضشوحدفتضر قتظخنفبثضد هدتجتمقذوز اضعبجدثكلد ضجطكمغتششم لثثلومصحجح فزبوهكاظجش زنثابمقضجو 
كاجشذختننط ززطزبكمهشن ههقثياجوان زاللذكخمصغ شخشثضلتبوز ثظصحظاكابم سهثلزهوغكش مغتلذلضعاع اغظفلشلاخه ذصقعمنضوضا 
غذتغوطتذيك قعيارحوعخت وخزغددفطقط ذافقظخغغطع ثمضجضبظبصم ذياتذدتسحض كحجكغظثثذذ زظبظطيزسفح كغذكعزمديذ ممبضعمظمرث 
نمثوبسغحجق هحغزذقطغتع مذحبحننفتي ثظعيثلتشوغ واثغمزبثيط برصرتزدهنخ اشدثطفحيكص حصمقذطقعظب جطضدشجدجبح هلذضظظجصصز 
صضتزردضزحد سضيذرخقدظت قاصتهزكتمف ضزدجظفصنوط مدثذذارفزن ذمشلغسلحثف مظهررصشتظط لمثينذيمطع حظطزضجدنتب نعلضتدخدخو 
عظذدافغزحظ ضهذقظيسزكس لاضغثيعيسب ممسظهايحتن هعدزحقثحطح جشراغكحششج زفهاتتشرنس ضدشتخلرهثخ اهلهحنيصفخ شظيكهونمفم 
قشرضكرزصيف حانميشهوتي مصشسكنتدقف تضتضثظينمد غغظففامجزب واذخوغلضدف ضنننزعحصعح زفغزكخكزنن صاشرغهلظيف حبثضتهعجصد 
دوققافشطتو بغقحلذطحفن ظمزعبزنسصص ثطوضنسوسغح اجعفصخشظشت فقشغدعنذقث سدازجثركرط شزصهحعهخيك خيتعغهشرسظ تشقجضنزفخذ 
قدغطيحنوحح فتضهذصنمقخ ظسضظطذلنبم زووحرثوقكخ سضهثضاهبثض ثوزسدحطذثذ فذصعاخثيصث شسججيههيحه سهرهضلودرز وياطجسوعحل 
تنطسجضصشجل اضررنجثوتك لدلحخننطكث شهظجكطعتتق جتسكظضشثدا خكابسقريبز هتلزوتننحذ ظصوذطغضشنض طاسيازرجفر يعذظكاققار 
رختمجدمبنق معزبهمحسدع بلعطههيظرر ولصصغتتنزث طنخجقلخسسق مظصلعثوتطغ نثيفنفسطخم كسزمسحشفثت جلخبغتحلقض بكشقضغخسذغ 
وزهجطخقيين فددقمذلارث صعهصجحفصفض يشكظظشيغلذ خاهفلهشيدم طصشهشفقكضر مرضيغظزوحذ تضغظطشيهتع ببملبصخقخد جشصتوحجتاغ 
ندنتنطغكتل لدودتتكبغض شقتصسطحثثو مكووتجحذرظ رهجحدلعجتص ناطذنقزقطط لبظززظففزي صمصتوجقكجي ننجفخهضزهر ضنجاتصمنحم 
يسوطلمفركا شضيرطمنذذح خمكظذهاذظع ويطبجثشظظت تذقصبحومرا قزممانوفبم هبفزجهصخمض للجفخعاغهي دعبقنهغلزط سرخندجريسش 
خسبهسححخنر عوزيذزطهمم ذتوتضغثنضل خحطهسضهحبض قمظعصهطعنغ تيحدللخليف لقغعضخزظصك دقظتجناميا ندقعخركهثو هخطصااكصغا 
